,Unnamed: 0,initial,final,next_label
9,9,2331,2331,3
10,10,2340,2379,3
11,11,2392,2397,3
12,12,2504,2508,3
13,13,2527,2527,3
14,14,2530,2531,3
15,15,2542,2552,3
16,16,4066,4071,5
18,18,5384,5391,3
24,24,9023,9031,3
26,26,10040,10051,3
31,31,11228,11231,4
33,33,11589,11591,3
36,36,11870,11871,3
39,39,12352,12356,3
40,40,12460,12471,3
41,41,12473,12519,3
42,42,12532,12532,3
43,43,12680,12688,3
44,44,12692,12699,3
45,45,12880,12891,3
48,48,13026,13031,5
49,49,13040,13106,3
51,51,13488,13491,3
52,52,13500,13523,3
54,54,13649,13651,3
55,55,13660,13699,3
56,56,13712,13713,3
57,57,13840,13851,3
60,60,14300,14311,3
65,65,15220,15231,3
68,68,15900,15911,3
71,71,16420,16431,3
74,74,16671,16671,3
77,77,16823,16831,3
80,80,16980,16991,3
81,81,16996,17039,3
82,82,17052,17055,3
83,83,17200,17211,3
86,86,17720,17731,3
89,89,18260,18271,3
92,92,19140,19151,3
95,95,19300,19311,3
96,96,19313,19323,3
97,97,19332,19339,3
100,100,19680,19691,3
101,101,19695,19744,3
103,103,19880,19891,3
106,106,20100,20111,3
108,108,20504,20511,3
111,111,20700,20711,3
114,114,20927,20931,3
117,117,21106,21111,3
120,120,21281,21291,4
123,123,21460,21471,3
126,126,21620,21631,3
129,129,21780,21791,3
132,132,22060,22071,3
136,136,22660,22671,3
139,139,22851,22851,3
142,142,23020,23031,3
144,144,23223,23231,3
147,147,23500,23511,3
150,150,23663,23671,4
151,151,23680,23683,4
152,152,23692,23699,4
153,153,23822,23831,3
156,156,24044,24051,3
159,159,24240,24251,3
162,162,24585,24591,3
165,165,24740,24751,3
168,168,25105,25111,5
171,171,25380,25391,3
174,174,25611,25611,5
177,177,25785,25791,3
180,180,26028,26031,5
183,183,26291,26291,3
186,186,26528,26531,3
189,189,26640,26646,4
190,190,26655,26659,4
192,192,26884,26891,3
195,195,27120,27131,3
198,198,27321,27331,5
201,201,27545,27551,5
203,203,28003,28011,3
204,204,28017,28017,3
207,207,28260,28271,3
208,208,28275,28275,3
211,211,28400,28411,3
214,214,28540,28551,3
217,217,28751,28751,5
220,220,28928,28931,5
225,225,29311,29311,5
228,228,29601,29611,3
231,231,29780,29791,3
234,234,30020,30031,3
237,237,30260,30271,3
241,241,30661,30671,3
244,244,30827,30831,3
247,247,30983,30991,3
250,250,31160,31171,3
253,253,31464,31471,3
256,256,31565,31567,4
259,259,31612,31619,4
260,260,31691,31691,5
263,263,31941,31951,3
266,266,32170,32171,5
269,269,32401,32411,3
272,272,32582,32591,5
275,275,32945,32951,3
278,278,33471,33471,4
281,281,33900,33911,3
282,282,33916,34089,4
283,283,34092,34111,4
288,288,34422,34431,3
290,290,34512,34519,4
291,291,34620,34631,3
294,294,34951,34951,3
297,297,35123,35131,3
300,300,35324,35331,3
305,305,35787,35791,3
308,308,36220,36231,3
311,311,36820,36831,3
314,314,37061,37071,3
317,317,37250,37251,5
320,320,37480,37491,3
323,323,37700,37711,3
326,326,37980,37991,3
328,328,38092,38099,4
329,329,38241,38251,3
332,332,38665,38671,3
335,335,38860,38871,3
338,338,39080,39091,3
341,341,39229,39231,3
344,344,39421,39431,3
347,347,39648,39651,5
350,350,39981,39991,3
353,353,40302,40311,3
356,356,40746,40746,3
357,357,40748,40751,3
359,359,41000,41011,3
362,362,41128,41131,5
365,365,41380,41391,3
368,368,41610,41611,3
369,369,41620,41790,4
371,371,41960,41971,5
374,374,42110,42111,5
377,377,42487,42491,4
379,379,43220,43459,4
380,380,43472,43478,4
381,381,43522,43531,4
382,382,43540,43559,4
383,383,43572,43579,4
384,384,43860,43867,3
385,385,43872,43879,3
386,386,44080,44084,3
389,389,44529,44531,3
392,392,44644,44644,4
393,393,44646,44651,4
395,395,44672,44679,4
396,396,45180,45189,3
397,397,45196,45199,3
398,398,45689,45689,4
399,399,45691,45691,4
401,401,45700,45711,4
402,402,45716,45716,4
405,405,45757,45779,4
406,406,45792,45793,4
407,407,45847,45851,4
408,408,45860,45899,4
409,409,45912,45916,4
410,410,46202,46211,3
413,413,46483,46491,3
416,416,46585,46588,4
417,417,46621,46631,4
418,418,46640,46644,4
419,419,46652,46659,4
420,420,47020,47031,3
427,427,50042,50051,3
430,430,50285,50288,3
432,432,50312,50312,3
436,436,50768,50771,3
437,437,50780,50791,3
